Date,Open,High,Low,Close
1971-06-04,14331.74,14331.74,14331.74,14331.74
1971-06-07,14367.48,14367.48,14367.48,14367.48
1971-06-08,14379.393333333333,14379.393333333333,14379.393333333333,14379.393333333333
1971-06-09,14391.306666666665,14391.306666666665,14391.306666666665,14391.306666666665
1971-06-10,14403.219999999998,14403.219999999998,14403.219999999998,14403.219999999998
1971-06-11,14415.133333333333,14415.133333333333,14415.133333333333,14415.133333333333
1971-06-14,14450.873333333331,14450.873333333331,14450.873333333331,14450.873333333331
1971-06-15,14465.214666666667,14465.214666666667,14465.214666666667,14465.214666666667
1971-06-16,14477.13,14477.13,14477.13,14477.13
1971-06-17,14489.045333333332,14489.045333333332,14489.045333333332,14489.045333333332
1971-06-18,14498.526666666667,14498.526666666667,14498.526666666667,14498.526666666667
1971-06-21,14534.266666666665,14534.266666666665,14534.266666666665,14534.266666666665
1971-06-22,14546.18,14546.18,14546.18,14546.18
1971-06-23,14558.093333333332,14558.093333333332,14558.093333333332,14558.093333333332
1971-06-24,14570.006666666666,14570.006666666666,14570.006666666666,14570.006666666666
1971-06-25,14581.919999999998,14581.919999999998,14581.919999999998,14581.919999999998
1971-06-28,14616.432999999999,14616.432999999999,14616.432999999999,14616.432999999999
1971-06-29,14629.163999999999,14629.163999999999,14629.163999999999,14629.163999999999
1971-06-30,14641.486666666666,14641.486666666666,14641.486666666666,14641.486666666666
1971-07-01,14653.4,14653.4,14653.4,14653.4
1971-07-02,14676.458064516128,14676.458064516128,14676.458064516128,14676.458064516128
1971-07-06,14770.756451612902,14770.756451612902,14770.756451612902,14770.756451612902
1971-07-07,14794.231612903226,14794.231612903226,14794.231612903226,14794.231612903226
1971-07-08,14817.293548387097,14817.293548387097,14817.293548387097,14817.293548387097
1971-07-09,14837.864516129031,14837.864516129031,14837.864516129031,14837.864516129031
1971-07-12,14907.455806451615,14907.455806451615,14907.455806451615,14907.455806451615
1971-07-13,14931.767741935484,14931.767741935484,14931.767741935484,14931.767741935484
1971-07-14,14953.154838709675,14953.154838709675,14953.154838709675,14953.154838709675
1971-07-15,14976.212903225807,14976.212903225807,14976.212903225807,14976.212903225807
1971-07-16,14999.270967741935,14999.270967741935,14999.270967741935,14999.270967741935
1971-07-19,15068.023548387097,15068.023548387097,15068.023548387097,15068.023548387097
1971-07-20,15091.080967741935,15091.080967741935,15091.080967741935,15091.080967741935
1971-07-21,15114.56129032258,15114.56129032258,15114.56129032258,15114.56129032258
1971-07-22,15136.348709677419,15136.348709677419,15136.348709677419,15136.348709677419
1971-07-23,15158.980645161291,15158.980645161291,15158.980645161291,15158.980645161291
1971-07-26,15229.851612903223,15229.851612903223,15229.851612903223,15229.851612903223
1971-07-27,15251.629354838711,15251.629354838711,15251.629354838711,15251.629354838711
1971-07-28,15275.967741935483,15275.967741935483,15275.967741935483,15275.967741935483
1971-07-29,15299.025806451611,15299.025806451611,15299.025806451611,15299.025806451611
1971-07-30,15321.65516129032,15321.65516129032,15321.65516129032,15321.65516129032
1971-08-02,15357.100645161292,15357.100645161292,15357.100645161292,15357.100645161292
1971-08-03,15343.853870967743,15343.853870967743,15343.853870967743,15343.853870967743
1971-08-04,15332.325806451614,15332.325806451614,15332.325806451614,15332.325806451614
1971-08-05,15320.797741935483,15320.797741935483,15320.797741935483,15320.797741935483
1971-08-06,15309.269677419354,15309.269677419354,15309.269677419354,15309.269677419354
1971-08-09,15273.830645161292,15273.830645161292,15273.830645161292,15273.830645161292
1971-08-10,15264.011612903225,15264.011612903225,15264.011612903225,15264.011612903225
1971-08-11,15250.775806451615,15250.775806451615,15250.775806451615,15250.775806451615
1971-08-12,15241.38064516129,15241.38064516129,15241.38064516129,15241.38064516129
1971-08-13,15227.720967741936,15227.720967741936,15227.720967741936,15227.720967741936
1971-08-31,14284.662903225808,14284.662903225808,14284.662903225808,14284.662903225808
1971-09-01,14322.42,14322.42,14322.42,14322.42
