ticker,strategy,sharpe,cagr,trades,maxdd,profit_factor,final_value,avg_oos,min_oos,max_oos,folds_geq_04,n_folds
USDJPY=X,Donchian20,0.3496490352548712,0.019530953953809993,137,-0.3209055537148751,1.6589669178318431,177198.12366208073,0.04520461710964564,-1.8402123612637518,1.615848298992265,12,27
USDJPY=X,Donchian20_ADX25,0.3407255292281223,0.015123674396248177,192,-0.25356761567808256,1.4816398142966456,155887.46188111603,0.15990085607802235,-1.99651180036951,2.218743888047418,11,27
USDJPY=X,Donchian20_ER03,0.10643518347462026,0.0027415884669272916,289,-0.1525022779876444,1.1055565572369443,108434.59731749647,-0.135287009420349,-1.4247988790888042,1.6878326658862408,9,27
USDJPY=X,Donchian20_Dual,-0.04699640522214535,-0.0007195805675173084,323,-0.04131943725744242,0.9582964170792726,97893.43498970428,-0.2054815810304559,-1.8411071621261335,1.3601276437297358,6,27
USDJPY=X,KAMA10_2_30,-0.09754456920171241,-0.00718350473050422,854,-0.3236459114675334,0.919402271571432,80796.75874859092,-0.1719931496134505,-2.2590283706944194,1.160818623291991,7,27
USDJPY=X,TDSeqCounter,-0.11667188473953322,-0.010008760053345833,1,-0.4153630057558882,0.0,74265.73447885015,0.014464761368806327,-0.13682129780465485,0.5273698547624257,1,27
USDJPY=X,TDCombo,0.15043734525107952,0.007332098136852538,1,-0.24809686125576427,24120.209914650073,124118.96585040937,0.001764727075867083,-0.40922776005856404,0.4568753911069753,1,27
USDJPY=X,TDSequentialBreakout,0.10915157146886957,0.004273607071818786,87,-0.19195844634158588,1.168489621446807,113443.09495715784,-0.04631868096349246,-1.4963017461874477,0.6145145233514794,1,27
SPY,Donchian20,0.06869261201802958,0.0023438782071751874,191,-0.2921078261193656,1.054552872871515,107628.21188207623,0.12417865389424956,-1.4589754607576249,1.7693033310360085,13,29
SPY,Donchian20_ADX25,0.119106351567884,0.004950211431319351,268,-0.2512573852408929,1.127719670839413,116772.24289279712,0.04307593290147144,-1.7297270128080804,1.8629005709445474,11,29
SPY,Donchian20_ER03,-0.10879793294189202,-0.004154563402237299,434,-0.2444193138308574,0.9149870163536408,87745.7514174476,-0.18969994031867082,-2.0107600333899294,1.4119909418607932,5,29
SPY,Donchian20_Dual,-0.33252663522956316,-0.006208790267344333,609,-0.2049051785007278,0.8283656109557205,82236.88108873415,-0.261948232299901,-1.3285103747856895,1.5933575988260202,3,29
SPY,KAMA10_2_30,-0.5728847482330224,-0.04092462832479549,1065,-0.7464958338543075,0.6681468612616752,26925.795629686218,-0.6902590448549253,-1.9121032195356473,0.7784849851786019,4,29
SPY,TDSeqCounter,0.5344235373844559,0.04157441365334158,1,-0.22401683683693138,259328.42234343707,359321.1454737639,0.4978874160271363,-0.5408948639730385,5.0845383008596,7,29
SPY,TDCombo,-0.13873973985029525,0.0,1,-2.683470973268442,0.0,-203407.50645255175,-0.3392849726383217,-4.012390462008378,0.7840360654211295,1,29
SPY,TDSequentialBreakout,0.0,0.0,0,0.0,1.0,100000.0,0.0,0.0,0.0,0,29
^GSPC,Donchian20,0.12501365168547415,0.006076656024679883,185,-0.21769136772910208,1.1319775721382321,120953.0285972922,0.10513898182432761,-1.5032245324418445,1.7430274639899328,13,29
^GSPC,Donchian20_ADX25,0.11419601258608725,0.0048290294710522375,266,-0.2306357337503084,1.1174303482097712,116330.90363230207,0.061508577147161715,-1.5411303401526442,1.7430274639899328,13,29
^GSPC,Donchian20_ER03,-0.06062812896474139,-0.002703866865885529,426,-0.27453340057685865,0.960534505794747,91849.61922987935,-0.21002295425080686,-1.7299931817108964,1.3836756415280733,6,29
^GSPC,Donchian20_Dual,-0.352162059173804,-0.0072670595581783015,609,-0.2491443714759287,0.8136035181337061,79531.11766584682,-0.3197764874848319,-1.6510529218909655,1.469232016724794,4,29
^GSPC,KAMA10_2_30,-0.5490882454969416,-0.04120191352284308,1061,-0.7485795780240639,0.6965302281637167,26682.423710261966,-0.7598241886851048,-2.170351593464427,1.1312627322660869,2,29
^GSPC,TDSeqCounter,0.5475153822640981,0.027504517745975843,2,-0.12470116724879632,134442.7278893841,234430.58825939504,0.5412394505645601,-0.47764919476593,4.968800793165029,9,29
^GSPC,TDCombo,0.1689991027060547,0.0,2,-1.2049957311357509,0.0,-20544.47839639688,-0.4501901065021279,-3.8716257641087313,0.29823149187748715,0,29
^GSPC,TDSequentialBreakout,0.0,0.0,0,0.0,1.0,100000.0,0.0,0.0,0.0,0,29
CL=F,Donchian20,0.1552172466265097,0.008480180880912513,147,-0.18626789130253646,1.2509368112158066,124303.40880218844,0.13426120737097716,-1.689981073751573,1.670143062385728,11,23
CL=F,Donchian20_ADX25,0.14923432738532455,0.007529240887017785,194,-0.19642232023776515,1.215887800567236,121318.67217509654,0.07202161753029547,-2.1182877626679346,2.1465913760497544,8,23
CL=F,Donchian20_ER03,0.007793983394807056,-0.00042285016903542694,333,-0.12454974826552864,0.999807820785706,98916.28820952294,-0.02458470437553639,-1.2274469006717754,1.4932685221296749,6,23
CL=F,Donchian20_Dual,0.011580303385698196,-4.136817458144648e-05,372,-0.09466759917074309,1.0262258610795336,99893.4770156651,0.002551104488089612,-2.186730803868867,2.1111464113143192,6,23
CL=F,KAMA10_2_30,-0.1684315964664537,-0.013334268483850997,807,-0.461206270915656,0.8402545936443194,70762.28308311327,-0.22379600126395624,-1.6849209937150884,1.1812356559487016,6,23
CL=F,TDSeqCounter,0.05565238702884878,0.000163126185568796,3,-0.5455502659491839,1.069014023733318,100421.11479387518,0.2090439878916652,0.0,2.2927368015381164,3,23
CL=F,TDCombo,0.04376961974205299,-6.16347538094919e-05,3,-0.379413966940022,0.9780780145094368,99841.33041934222,-0.1031825925449839,-1.3671824832118922,0.0,0,23
CL=F,TDSequentialBreakout,0.0,0.0,0,0.0,1.0,100000.0,0.0,0.0,0.0,0,23
GC=F,Donchian20,0.16788316942363543,0.011625831256163233,165,-0.252264954364154,1.2137771311430223,134658.14415110345,0.009743420354276585,-1.496399011076748,1.9228562518491994,6,23
